Qty,Source,Identifier,Title,Source URL,Product Image,Price,Discounts and Taxes,Prep And Ship,Adjusted Price,In Stock,Amazon Title,Amazon URL,K URL,Camel Camel Camel URL,Amazon Seller Central URL,Amazon Image,Match Quality,Amazon Category,Brand,Variations,ASIN,Parent ASIN,Amazon UPC/EAN,UPC / EAN,Buy Box,Amazon Sells and In Stock,Amazon Buy Box Price,Average Price (30 days),Average Price (90 days),Amazon Return After Fees,GST/VAT to Remit,Gross Profit,Gross ROI,New Sellers,Competitive FBA Sellers,Potential Monthly Profit,Weight (lbs),Product Size,Sales Rank,Average Rank (30 Days),Average Rank (90 Days),Estimated Monthly Sales,Reviews,Rating,Last Update,Note,Amazon In Stock (30 days),Amazon In Stock (90 Days),Profit Margin,Length,Width,Height,WeightUnits,SizeUnits,Process ID,Process Name,Fulfillment Fee,Closing Fee,Referral Percent
1,target.com,,Dirt Devil Vibe 3-in-1 Corded Stick Vacuum Cleaner with Removable Hand Held Vac,https://www.target.com/p/dirt-devil-vibe-3-in-1-corded-stick-vacuum-cleaner-with-removable-hand-held-vac/-/A-14391074,https://target.scene7.com/is/image/Target/GUEST_63274e78-9e5f-4924-8474-f544d14fda4a,$49.99,3.5,$0.50,$53.99,Yes,Dirt Devil SD20020 Vibe 3-in-1 Corded Bagless Stick Vacuum,https://amazon.com/dp/B088W7955J/,,http://camelcamelcamel.com/product/B088W7955J,https://www.amazon.com/dp/B088W7955J,https://images-na.ssl-images-amazon.com/images/I/01RmK+J4pJL.gif,100,Home & Kitchen,Dirt Devil,1,B088W7955J,,885241503516,46034899999,,,$121.78,,,$95.83,0,$41.84,77 %,1,0,-41.84,4.67,Large Standard-Size,0,0,0,,0,0,2022-05-14T02:09:41.000000Z,,0,0,44,1750,660,620,hundredths-pounds,hundredths-inches,8237720,,7.38,0,0.15%
1,target.com,,Proctor Silex 1.1 cu ft 1000 Watt Microwave Oven - Stainless Steel (Brand May Vary),https://www.target.com/p/proctor-silex-1-1-cu-ft-1000-watt-microwave-oven-stainless-steel-brand-may-vary/-/A-53383982,https://target.scene7.com/is/image/Target/GUEST_a68b94d9-a1d0-4582-9ca4-f7345293e10f,$64.99,4.55,$0.00,$69.54,Yes,SHARP SMC1132CS Countertop Microwave 1.1 cu. ft. Capacity with 1000 Cooking Watts in Stainless Steel,https://amazon.com/dp/B071VFHMLC/,,http://camelcamelcamel.com/product/B071VFHMLC,https://www.amazon.com/dp/B071VFHMLC,https://m.media-amazon.com/images/I/21uSiYB9UYL.jpg,80,Kitchen & Dining,Sharp,1,B071VFHMLC,,74000620087,190873009368,MF,out of stock,$169.00,$160.89,$151.74,$106.68,0,$37.14,53 %,5,0,631.38,34.39,Small Oversize,122795,167137,203397,17,30,3,2022-05-13T23:00:45.000000Z,,78,67,35,2378,2189,1693,hundredths-pounds,hundredths-inches,8237720,,34.52,0,0.15%
1,target.com,,Proctor Silex 0.9 cu ft 900 Watt Microwave Oven - Black (Brand May Vary),https://www.target.com/p/proctor-silex-0-9-cu-ft-900-watt-microwave-oven-black-brand-may-vary/-/A-13288321,https://target.scene7.com/is/image/Target/GUEST_b8867de2-0e55-4a81-8ae2-06aee84ec8a5,$54.99,3.85,$0.00,$58.84,Yes,"Farberware 900-Watt Microwave Oven, 0.9 Cu. Ft, Stainless Steel",https://amazon.com/dp/B01EIZSDPQ/,,http://camelcamelcamel.com/product/B01EIZSDPQ,https://www.amazon.com/dp/B01EIZSDPQ,https://m.media-amazon.com/images/I/41QaCFeZhKL.jpg,80,Home & Kitchen,Farberware,1,B01EIZSDPQ,,,190873009085,MF,out of stock,$129.00,$97.96,$101.29,$85.38,0,$26.54,45 %,4,0,1512.78,29.6,Small Oversize,392037,281248,399398,57,99,3.8,2022-05-13T23:03:58.000000Z,,11,57,31,2114,1724,1299,hundredths-pounds,hundredths-inches,8237720,,22.95,0,0.15%
1,target.com,,Proctor Silex 1.3 cu ft 1100 Watt Microwave Oven - Stainless Steel (Brand May Vary),https://www.target.com/p/proctor-silex-1-3-cu-ft-1100-watt-microwave-oven-stainless-steel-brand-may-vary/-/A-15632707,https://target.scene7.com/is/image/Target/GUEST_3cd5d015-8cc9-4c0d-818e-90007cb424be,$74.99,5.25,$0.00,$80.24,Yes,"Farberware FMO13AHTBKI Professional 1.3 Cu. Ft. 1100-Watt Microwave Oven with Sensor, Stainless Steel",https://amazon.com/dp/B09MGCRP74/,,http://camelcamelcamel.com/product/B09MGCRP74,https://www.amazon.com/dp/B09MGCRP74,https://m.media-amazon.com/images/I/31jYgJPOFjL.jpg,84,Home & Kitchen,Farberware,1,B09MGCRP74,,815658025592,190873009375,MF,out of stock,$195.99,$195.99,$195.99,$135.75,0,$55.51,69 %,1,0,55.51,38.14,Small Oversize,796013,720568,712714,1,0,0,2022-05-13T16:51:15.000000Z,,0,0,41,2307,1996,1488,hundredths-pounds,hundredths-inches,8237720,,28.94,0,0.15%
1,target.com,,Proctor Silex 1.3 cu ft 1100 Watt Microwave Oven - Stainless Steel (Brand May Vary),https://www.target.com/p/proctor-silex-1-3-cu-ft-1100-watt-microwave-oven-stainless-steel-brand-may-vary/-/A-15632707,https://target.scene7.com/is/image/Target/GUEST_3cd5d015-8cc9-4c0d-818e-90007cb424be,$74.99,5.25,$0.00,$80.24,Yes,"Sharp, Stainless Steel Countertop 1100 Watt Microwave Oven, 1.6 cu. ft",https://amazon.com/dp/B07N2YHP3H/,,http://camelcamelcamel.com/product/B07N2YHP3H,https://www.amazon.com/dp/B07N2YHP3H,https://m.media-amazon.com/images/I/31MeJEQZ6xL.jpg,69,Home & Kitchen,Sharp,1,B07N2YHP3H,,74000620728,190873009375,MF,out of stock,$234.99,,,$174.74,0,$94.50,118 %,1,0,14269.5,39.7,Small Oversize,147875,0,0,151,0,0,2022-05-13T22:30:09.000000Z,,0,0,54,2440,1500,50,hundredths-pounds,hundredths-inches,8237720,,23.76,0,0.15%
1,target.com,,ZeroWater 30 Cup Ready-Pour Water Filtering Dispenser with Free Water Quality Meter,https://www.target.com/p/zerowater-30-cup-ready-pour-water-filtering-dispenser-with-free-water-quality-meter/-/A-13167275,https://target.scene7.com/is/image/Target/GUEST_24ce533e-fa05-4ae3-a78f-703a74d5ea25,$34.99,2.45,$0.00,$37.44,Yes,Wtr Filter Pitcher 30cup,https://amazon.com/dp/B07FLKFNZF/,,http://camelcamelcamel.com/product/B07FLKFNZF,https://www.amazon.com/dp/B07FLKFNZF,https://m.media-amazon.com/images/I/41cNw90-I7L.jpg,100,Tools & Home Improvement,Zerowater,1,B07FLKFNZF,,851510006361,851510006361,MF,out of stock,$77.42,$77.42,$78.03,$50.71,0,$13.27,35 %,6,0,0,6.1,Small Oversize,799376,792035,777313,0,18,4.3,2022-05-14T01:49:54.000000Z,,31,76,26,1690,1320,860,hundredths-pounds,hundredths-inches,8237720,,14.57,0,0.15%
1,target.com,,ZeroWater 30 Cup Ready-Pour Water Filtering Dispenser with Free Water Quality Meter,https://www.target.com/p/zerowater-30-cup-ready-pour-water-filtering-dispenser-with-free-water-quality-meter/-/A-13167275,https://target.scene7.com/is/image/Target/GUEST_24ce533e-fa05-4ae3-a78f-703a74d5ea25,$34.99,2.45,$0.50,$37.94,Yes,"ZeroWater ZD-018 ZD018, 23 Cup Water Filter Pitcher with Water Quality Meter & ZP-010, 10 Cup Water Filter Pitcher with Water Quality Meter",https://amazon.com/dp/B08SRQJ37T/,,http://camelcamelcamel.com/product/B08SRQJ37T,https://www.amazon.com/dp/B08SRQJ37T,https://m.media-amazon.com/images/I/31+jdxGpQCL.jpg,89,Tools & Home Improvement,Zerowater,1,B08SRQJ37T,,,851510006361,AMZ,yes,$74.98,,,$58.57,0,$20.63,54 %,1,1,0,0,,1257950,0,0,0,2,3.5,2022-05-13T05:09:35.000000Z,,0,0,35,0,0,0,hundredths-pounds,hundredths-inches,8237720,,,,
1,target.com,,ZeroWater 30 Cup Ready-Pour Water Filtering Dispenser with Free Water Quality Meter,https://www.target.com/p/zerowater-30-cup-ready-pour-water-filtering-dispenser-with-free-water-quality-meter/-/A-13167275,https://target.scene7.com/is/image/Target/GUEST_24ce533e-fa05-4ae3-a78f-703a74d5ea25,$34.99,2.45,$0.50,$37.94,Yes,"ZeroWater ZD-018 ZD018, 23 Cup Water Filter Pitcher with Water Quality Meter & 10 Cup Round Water Filter Pitcher",https://amazon.com/dp/B09L51PJ6J/,,http://camelcamelcamel.com/product/B09L51PJ6J,https://www.amazon.com/dp/B09L51PJ6J,https://m.media-amazon.com/images/I/31xxX5bysAL.jpg,89,Home & Kitchen,Zerowater,1,B09L51PJ6J,,,851510006361,AMZ,yes,$69.98,,,$54.32,0,$16.38,43 %,1,,16.38,3,Large Standard-Size,948618,0,0,1,0,0,2022-05-12T10:06:45.000000Z,,0,0,30,1059,898,665,hundredths-pounds,hundredths-inches,8237720,,,,
2,target.com,,General Electric 2pk 10.5W (65W Equivalent) Relax LED HD Indoor Floodlights Soft White,https://www.target.com/p/general-electric-2pk-10-5w-65w-equivalent-relax-led-hd-indoor-floodlights-soft-white/-/A-51851190,https://target.scene7.com/is/image/Target/GUEST_23dba672-4096-4c10-83e9-1919e57a2259,$35.18,2.46,$0.50,$38.14,Yes,Bulb LED BR30 HD SW 10W4,https://amazon.com/dp/B07KD1XY3F/,,http://camelcamelcamel.com/product/B07KD1XY3F,https://www.amazon.com/dp/B07KD1XY3F,https://m.media-amazon.com/images/I/41ySxj9vPgL.jpg,100,Tools & Home Improvement,Ge,1,B07KD1XY3F,,43168409315,43168409315,,,$84.69,,,$62.79,0,$24.65,65 %,1,0,-24.65,7.5,Large Standard-Size,0,0,0,,0,0,2022-05-13T13:07:56.000000Z,,0,0,39,1800,900,800,hundredths-pounds,hundredths-inches,8237720,,8.64,0,0.15%
1,target.com,,Shark Air Purifier 4 with Anti-Allergen Multi-Filter Advanced Odor Lock Smart sensing HE401,https://www.target.com/p/shark-air-purifier-4-with-anti-allergen-multi-filter-advanced-odor-lock-smart-sensing-he401/-/A-82031835,https://target.scene7.com/is/image/Target/GUEST_23bf88f2-4bc3-451a-846b-ef6ee897b98c,$259.99,18.2,$0.50,$278.69,Yes,"Shark HE601 Air Purifier 6 True HEPA Covers up to 1200 Sq. Ft, White & HE6FKPET Anti-Allergen Hepa Filter with Advanced Odor Lock, Air Purifier 6 (HE601 & HE602), White",https://amazon.com/dp/B09R3T76GH/,,http://camelcamelcamel.com/product/B09R3T76GH,https://www.amazon.com/dp/B09R3T76GH,https://m.media-amazon.com/images/I/316Gjf5umML.jpg,81,Home & Kitchen,Shark,1,B09R3T76GH,,,622356570329,AMZ,yes,$399.98,$476.62,$493.54,$334.82,0,$56.13,20 %,1,1,28.07,0,,1551389,1591732,1251751,1,4,5,2022-05-13T16:39:49.000000Z,,38,72,17,0,0,0,,,8237720,,,,
