Qty,Source,Identifier,Title,"Source URL","Product Image",Price,"Discounts and Taxes","Prep And Ship","Adjusted Price","In Stock","Amazon Title","Amazon URL","K URL","Camel Camel Camel URL","Amazon Seller Central URL","Amazon Image","Match Quality","Amazon Category",Brand,Variations,ASIN,"Parent ASIN","Amazon UPC/EAN","UPC / EAN","Buy Box","Amazon Sells and In Stock","Amazon Buy Box Price","Average Price (30 days)","Average Price (90 days)","Amazon Return After Fees","GST/VAT to Remit","Gross Profit","Gross ROI","New Sellers","Competitive FBA Sellers","Potential Monthly Profit","Weight (lbs)","Product Size","Sales Rank","Average Rank (30 Days)","Average Rank (90 Days)","Estimated Monthly Sales",Reviews,Rating,"Last Update",Note,"Amazon In Stock (30 days)","Amazon In Stock (90 Days)",Length,Width,Height,WeightUnits,SizeUnits
1,homedepot.com,,"NINJA Express Chop Elite",https://www.homedepot.com/p/NINJA-Express-Chop-Elite-NJ110GR/206161885,https://images.thdstatic.com/productImages/0c2e29e0-46d8-4a04-8e9f-b6c2338b0ea0/svn/ninja-food-choppers-nj110gr-64_600.jpg,$19.95,-1.98,$0.00,$17.94,No,"Ninja Food Chopper Express Chop with 200-Watt, 16-Ounce Bowl for Mincing, Chopping, Grinding, Blending and Meal Prep (NJ110GR)",https://amazon.com/dp/B00HL3TBDQ/,,,,https://m.media-amazon.com/images/I/413qSxpH8LL.jpg,100,"Kitchen & Dining",Ninja,1,B00HL3TBDQ,B0847HZ6FK,622356535588,622356535588,MF,"out of stock",$37.13,$44.18,$45.02,$25.61,0,$7.67,"43 %",46,0,,2.34,"Large Standard-Size",4938,5718,9026,37,13264,4.7,2022-03-25T13:14:13.000000Z,,0,0,1071,587,579,hundredths-pounds,hundredths-inches
1,kohls.com,,"Ninja Express Chop",https://www.kohls.com/product/prd-4638782/ninja-express-chop.jsp,https://media.kohlsimg.com/is/image/kohls/4638782,$15.99,-2.13,$0.00,$13.80,No,"Ninja Food Chopper Express Chop with 200-Watt, 16-Ounce Bowl for Mincing, Chopping, Grinding, Blending and Meal Prep (NJ110GR)",https://amazon.com/dp/B00HL3TBDQ/,,,,https://m.media-amazon.com/images/I/413qSxpH8LL.jpg,52,"Kitchen & Dining",Ninja,1,B00HL3TBDQ,B0847HZ6FK,622356535588,622356535588,MF,"out of stock",$37.13,$44.18,$45.02,$25.61,0,$11.81,"86 %",46,0,,2.34,"Large Standard-Size",4938,5718,9026,37,13264,4.7,2022-03-25T13:14:20.000000Z,,0,0,1071,587,579,hundredths-pounds,hundredths-inches
1,buydig.com,,"Ninja Express Chop - NJ110GR",https://www.buydig.com/shop/product/EUPNJ110GR/Ninja-Express-Chop-NJ110GR,https://static.buydig.com/Assets/Product/imagesnw400/3C04C0ECD923421DB93AA526CC3BEB3A.jpg,$13.00,-0.26,$0.00,$12.74,No,"Ninja Food Chopper Express Chop with 200-Watt, 16-Ounce Bowl for Mincing, Chopping, Grinding, Blending and Meal Prep (NJ110GR)",https://amazon.com/dp/B00HL3TBDQ/,,,,https://m.media-amazon.com/images/I/413qSxpH8LL.jpg,52,"Kitchen & Dining",Ninja,1,B00HL3TBDQ,B0847HZ6FK,622356535588,622356535588,FBA,"out of stock",$38.26,$44.18,$45.02,$26.57,0,$13.83,"109 %",46,1,,2.34,"Large Standard-Size",4938,5718,9026,37,13264,4.7,2022-03-25T13:43:53.000000Z,,0,0,1071,587,579,hundredths-pounds,hundredths-inches
1,homedepot.com,,"NINJA Express Chop Elite",https://www.homedepot.com/p/NINJA-Express-Chop-Elite-NJ110GR/206161885,https://images.thdstatic.com/productImages/0c2e29e0-46d8-4a04-8e9f-b6c2338b0ea0/svn/ninja-food-choppers-nj110gr-64_600.jpg,$19.95,-1.98,$0.00,$17.94,No,"Ninja Food Chopper Express Chop with 200-Watt, 16-Ounce Bowl for Mincing, Chopping, Grinding, Blending and Meal Prep (NJ110GR)",https://amazon.com/dp/B00HL3TBDQ/,,,,https://m.media-amazon.com/images/I/413qSxpH8LL.jpg,100,"Kitchen & Dining",Ninja,1,B00HL3TBDQ,B0847HZ6FK,622356535588,622356535588,MF,"out of stock",$37.13,$44.18,$45.02,$25.61,0,$7.67,"43 %",46,0,,2.34,"Large Standard-Size",4938,5718,9026,36,13264,4.7,2022-03-25T13:14:13.000000Z,,0,0,1071,587,579,hundredths-pounds,hundredths-inches
1,kohls.com,,"Ninja Express Chop",https://www.kohls.com/product/prd-4638782/ninja-express-chop.jsp,https://media.kohlsimg.com/is/image/kohls/4638782,$15.99,-2.13,$0.00,$13.80,No,"Ninja Food Chopper Express Chop with 200-Watt, 16-Ounce Bowl for Mincing, Chopping, Grinding, Blending and Meal Prep (NJ110GR)",https://amazon.com/dp/B00HL3TBDQ/,,,,https://m.media-amazon.com/images/I/413qSxpH8LL.jpg,52,"Kitchen & Dining",Ninja,1,B00HL3TBDQ,B0847HZ6FK,622356535588,622356535588,MF,"out of stock",$37.13,$44.18,$45.02,$25.61,0,$11.81,"86 %",46,0,,2.34,"Large Standard-Size",4938,5718,9026,36,13264,4.7,2022-03-25T13:14:20.000000Z,,0,0,1071,587,579,hundredths-pounds,hundredths-inches
1,buydig.com,,"Ninja Express Chop - NJ110GR",https://www.buydig.com/shop/product/EUPNJ110GR/Ninja-Express-Chop-NJ110GR,https://static.buydig.com/Assets/Product/imagesnw400/3C04C0ECD923421DB93AA526CC3BEB3A.jpg,$13.00,-0.26,$0.00,$12.74,No,"Ninja Food Chopper Express Chop with 200-Watt, 16-Ounce Bowl for Mincing, Chopping, Grinding, Blending and Meal Prep (NJ110GR)",https://amazon.com/dp/B00HL3TBDQ/,,,,https://m.media-amazon.com/images/I/413qSxpH8LL.jpg,52,"Kitchen & Dining",Ninja,1,B00HL3TBDQ,B0847HZ6FK,622356535588,622356535588,FBA,"out of stock",$38.26,$44.18,$45.02,$26.57,0,$13.83,"109 %",46,1,,2.34,"Large Standard-Size",4938,5718,9026,36,13264,4.7,2022-03-25T13:43:53.000000Z,,0,0,1071,587,579,hundredths-pounds,hundredths-inches
1,vitacost.com,,"Metamucil Original Smooth Sugar Free Unflavored -- 23.3 Package",https://www.vitacost.com/metamucil-original-smooth-sugar-free,https://www.vitacost.com/Images/Products/500/Metamucil/Metamucil-Original-Smooth-Sugar-Free-Unflavored-037000741176.jpg,$21.99,-2.20,$0.00,$19.79,Yes,"Metamucil Smooth Texture Sugar-Free Unflavored 114 Each",https://amazon.com/dp/B001H9X8IY/,,,,https://m.media-amazon.com/images/I/51bMpQCL26L.jpg,100,"Health & Household",Metamucil,1,B001H9X8IY,,037000741176,037000741176,FBA,"out of stock",$34.43,$38.06,$40.69,$24.08,0,$4.29,"22 %",53,3,,1.76,"Large Standard-Size",30083,19816,19922,33,562,4.4,2022-03-25T18:54:32.000000Z,,0,0,815,433,358,hundredths-pounds,hundredths-inches
1,walgreens.com,,"Metamucil Multi-Health Psyllium Fiber Supplement Sugar-Free Powder Original Smooth",https://www.walgreens.com/store/c/metamucil-multi-health-psyllium-fiber-supplement-sugar-free-powder-original-smooth/ID=prod2474076-product,http://pics.drugstore.com/prodimg/15219/155.jpg,$21.99,-3.39,$0.00,$18.47,No,"Metamucil Smooth Texture Sugar-Free Unflavored 114 Each",https://amazon.com/dp/B001H9X8IY/,,,,https://m.media-amazon.com/images/I/51bMpQCL26L.jpg,100,"Health & Household",Metamucil,1,B001H9X8IY,,037000741176,037000741176,FBA,"out of stock",$34.43,$38.06,$40.69,$24.08,0,$5.61,"30 %",53,3,,1.76,"Large Standard-Size",30083,19816,19922,33,562,4.4,2022-03-25T18:55:29.000000Z,,0,0,815,433,358,hundredths-pounds,hundredths-inches
1,target.com,,"CeraVe Foaming Face Wash, Facial Cleanser for Normal to Oily Skin with Essential Ceramides",https://www.target.com/p/cerave-foaming-face-wash-facial-cleanser-for-normal-to-oily-skin-with-essential-ceramides/-/A-81616315?preselect=51148110#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_c137f481-d1e8-4c25-bf8c-ff48760630be,$4.99,-0.57,$0.00,$4.42,Yes,"CeraVe Foaming Facial Cleanser, Makeup Remover and Daily Face Wash for Oily Skin, Paraben & Fragrance Free, 16 Fl Oz",https://amazon.com/dp/B01N1LL62W/,,,,https://m.media-amazon.com/images/I/31j+VyDf+zL.jpg,100,"Beauty & Personal Care",Cerave,2,B01N1LL62W,B07VPFCKCB,3606000537705,3606000537705,AMZ,yes,$15.99,$14.27,$14.65,$8.43,0,$4.01,"91 %",20,1,,1.21,"Large Standard-Size",50,47,59,35,41596,4.7,2022-03-25T17:29:39.000000Z,,100,100,736,346,181,hundredths-pounds,hundredths-inches
1,meijer.com,,"Dr Teal's Sleep Spray With Melatonin, 6 oz",https://www.meijer.com/shopping/product/dr-teals-sleep-spray-with-melatonin-6-oz/81106801992.html,https://www.meijer.com/content/dam/meijer/product/0081/10/6801/99/0081106801992_0_A1C1_0200.png,$4.79,-0.07,$0.00,$4.72,Yes,"Dr Teal's Sleep Spray by Dr Teal's Sleep Spray with Melatonin & Essenstial Oils to promote a better night sleep 6 oz for Gifting",https://amazon.com/dp/B087BJQCTB/,,,,https://m.media-amazon.com/images/I/31uMECf1vtL.jpg,100,"Health & Household","Dr Teal's",1,B087BJQCTB,,811068019923,811068019923,FBA,"out of stock",$15.49,$14.68,$16.51,$9.39,0,$4.67,"99 %",246,14,,0.47,"Large Standard-Size",3139,2797,2763,48,679,4.4,2022-03-25T19:11:00.000000Z,,0,0,630,213,197,hundredths-pounds,hundredths-inches
